,season,episode,viewers
0,1,1,4.23
1,1,2,5.72
2,1,3,10.0
3,1,4,4.79
4,1,5,3.56
5,1,6,4.3
6,1,7,5.28
7,1,8,5.15
8,1,9,5.4
9,1,10,5.92
10,1,11,3.96
11,1,12,4.44
12,1,13,4.4
13,1,14,4.65
14,2,1,6.13
15,2,2,4.64
16,2,3,4.87
17,2,4,4.66
18,2,5,5.28
19,2,6,4.28
20,2,7,4.82
21,2,8,4.45
22,2,9,4.99
23,3,1,6.25
24,3,2,5.44
25,3,3,5.16
26,3,4,5.89
27,3,5,5.69
28,3,6,5.86
29,3,7,5.69
30,3,8,5.11
31,3,9,5.97
32,3,10,5.78
33,3,11,5.49
34,3,12,5.42
35,3,13,6.06
36,3,14,5.59
37,3,15,5.52
38,4,1,6.4
39,4,2,5.97
40,4,3,6.05
41,4,4,6.15
42,4,5,6.48
43,4,6,7.08
44,4,7,6.84
45,4,8,7.44
46,4,9,6.69
47,4,10,6.82
48,4,11,6.89
49,4,12,6.42
50,4,13,6.87
51,4,14,6.73
52,4,15,6.13
53,4,16,6.51
54,4,17,6.51
55,4,18,6.69
56,4,19,6.89
57,4,20,6.19
58,4,21,7.04
59,4,22,6.61
60,4,23,5.72
61,4,24,6.25
62,4,25,5.11
63,4,26,6.68
64,5,1,6.86
65,5,2,6.94
66,5,3,6.45
67,5,4,6.53
68,5,5,6.64
69,5,6,7.39
70,5,7,7.31
71,5,8,7.32
72,5,9,6.48
73,5,10,7.06
74,5,11,7.55
75,5,12,7.17
76,5,13,7.36
77,5,14,7.44
78,5,15,8.18
79,5,16,7.49
80,5,17,6.21
81,5,18,7.79
82,5,19,7.69
83,5,20,7.49
84,5,21,8.29
85,5,22,7.49
86,5,23,6.85
87,5,24,6.95
88,5,25,6.77
89,5,26,7.11
90,5,27,8.33
91,5,28,7.4
92,5,29,6.74
93,6,1,7.45
94,6,2,7.45
95,6,3,7.29
96,6,4,7.34
97,6,5,7.32
98,6,6,6.89
99,6,7,7.8
100,6,8,7.8
101,6,9,7.63
102,6,10,7.91
103,6,11,7.22
104,6,12,7.04
105,6,13,7.73
106,6,14,7.48
107,6,15,8.64
108,6,16,7.93
109,6,17,7.14
110,6,18,7.68
111,6,19,7.73
112,6,20,8.43
113,6,21,8.21
114,6,22,7.24
115,6,23,7.5
116,6,24,6.65
117,6,25,6.51
118,6,26,7.94
119,6,27,7.07
120,6,28,6.68
121,6,29,7.04
122,7,1,6.08
123,7,2,6.82
124,7,3,5.84
125,7,4,5.85
126,7,5,6.36
127,7,6,6.16
128,7,7,6.71
129,7,8,6.14
130,7,9,6.9
131,7,10,6.16
132,7,11,6.0
133,7,12,4.32
134,7,13,5.76
135,7,14,5.64
136,7,15,6.81
137,7,16,6.14
138,7,17,6.73
139,7,18,6.2
140,7,19,4.02
141,7,20,5.45
142,7,21,5.74
143,7,22,6.13
144,7,23,5.42
145,7,24,5.63
146,7,25,5.4
147,7,26,5.76
148,7,27,5.42
149,7,28,5.3
150,7,29,5.47
151,8,1,4.98
152,8,2,5.02
153,8,3,4.86
154,8,4,5.19
155,8,5,5.42
156,8,6,4.41
157,8,7,5.22
158,8,8,5.43
159,8,9,5.19
160,8,10,5.2
161,8,11,4.91
162,8,12,5.78
163,8,13,5.86
164,8,14,5.97
165,8,15,5.68
166,8,16,5.81
167,8,17,5.22
168,8,18,5.86
169,8,19,6.08
170,8,20,4.88
171,8,21,4.38
172,8,22,4.58
173,8,23,4.4
174,8,24,4.01
175,9,1,5.12
176,9,2,5.12
177,9,3,4.73
178,9,4,4.64
179,9,5,4.29
180,9,6,3.51
181,9,7,3.18
182,9,8,4.03
183,9,9,3.32
184,9,10,4.24
185,9,11,3.63
186,9,12,4.07
187,9,13,3.7
188,9,14,4.68
189,9,15,3.86
190,9,16,5.4
191,9,17,4.65
192,9,18,3.94
193,9,19,3.76
194,9,20,4.52
195,9,21,3.9
196,9,22,2.87
197,9,23,3.12
198,9,24,3.15
199,10,1,2.96
200,10,2,3.64
201,10,3,3.9
202,10,4,3.26
203,10,5,3.51
204,10,6,3.48
205,10,7,3.44
206,10,8,3.4
207,10,9,3.7
208,10,10,4.31
209,10,11,2.82
210,10,12,4.45
211,10,13,3.79
212,10,14,4.13
213,10,15,3.75
214,10,16,3.77
215,10,17,3.8
216,10,18,3.7
217,10,19,3.8
218,10,20,3.82
219,10,21,4.06
220,10,22,3.62
221,10,23,3.87
